step,time,true_x,true_y,meas_x,meas_y,est_x,est_y,est_vx,est_vy,cov_xx,cov_xy,cov_yy,rmse,nis
42,4.200000,2.412352,-2.091929,1.781066,0.461783,5.264989,-2.190201,0.659079,-1.190059,0.353013,-0.000000,0.353013,2.040310,0.000000
43,4.300000,2.138916,-1.931188,6.160465,-2.925412,5.402558,-2.362436,0.683488,-1.208191,0.345529,-0.000000,0.345529,2.068758,0.000000
44,4.400000,1.818632,-1.694279,0.654759,-0.442329,5.063525,-2.310619,0.547784,-1.150684,0.338346,-0.000000,0.338347,2.096183,0.000000
45,4.500000,1.588985,-1.461883,4.815342,-0.830384,5.093199,-2.293497,0.539603,-1.107601,0.331449,-0.000000,0.331450,2.128908,0.000000
46,4.600000,1.311774,-1.179207,-0.384205,-1.443540,4.697982,-2.326242,0.396307,-1.082713,0.324821,-0.000000,0.324822,2.159680,0.000000
47,4.700000,0.969405,-0.920342,-2.519610,-2.375965,4.159851,-2.429853,0.215812,-1.081257,0.318448,-0.000000,0.318448,2.188219,0.000000
48,4.800000,0.580926,-0.654626,-2.052183,1.023838,3.694720,-2.259877,0.066850,-0.996141,0.312314,-0.000000,0.312314,2.215056,0.000000
49,4.900000,0.300813,-0.354325,1.496732,-2.046037,3.532524,-2.335479,0.016191,-0.988939,0.306408,-0.000000,0.306408,2.246567,0.000000
50,5.000000,-0.017990,0.053541,-0.076236,0.585928,3.262717,-2.207309,-0.063637,-0.922158,0.300717,-0.000000,0.300717,2.280640,0.000000
51,5.100000,-0.292078,0.271823,0.469716,-0.127096,3.050679,-2.139183,-0.122968,-0.875904,0.295230,-0.000000,0.295230,2.316042,0.000000
52,5.200000,-0.682697,0.656553,-0.841005,-0.650154,2.757190,-2.112494,-0.202559,-0.843558,0.289936,-0.000000,0.289936,2.355662,0.000000
53,5.300000,-0.972616,0.974730,0.456387,1.738369,2.574543,-1.916637,-0.247674,-0.765708,0.284826,-0.000000,0.284826,2.396785,0.000000
54,5.400000,-1.265399,1.235461,-0.946228,0.646733,2.305151,-1.808485,-0.314404,-0.715319,0.279890,-0.000000,0.279890,2.438515,0.000000
55,5.500000,-1.461404,1.464823,2.161391,-0.192487,2.265986,-1.763948,-0.316474,-0.684221,0.275120,-0.000000,0.275121,2.483030,0.000000
56,5.600000,-1.853874,1.635019,-1.907448,2.726411,1.954241,-1.524073,-0.390207,-0.603065,0.270508,-0.000000,0.270508,2.526273,0.000000
57,5.700000,-2.198328,1.874443,-1.020589,0.382923,1.719954,-1.453532,-0.440724,-0.569214,0.266046,-0.000000,0.266047,2.571352,0.000000
58,5.800000,-2.392328,2.090863,1.824851,0.192915,1.685629,-1.398998,-0.438245,-0.540867,0.261728,-0.000000,0.261728,2.618743,0.000000
59,5.900000,-2.692094,2.200812,-4.175089,2.688177,1.267276,-1.186443,-0.531916,-0.474179,0.257545,-0.000000,0.257546,2.661940,0.000000
60,6.000000,-3.073444,2.412153,-2.485682,3.572438,0.979618,-0.929269,-0.589598,-0.399246,0.253493,-0.000000,0.253493,2.704414,0.000000
61,6.100000,-3.132147,2.442606,-3.023631,3.878632,0.674568,-0.666731,-0.649164,-0.326035,0.249565,-0.000000,0.249566,2.740072,0.000000
62,6.200000,-3.376900,2.627245,-3.907055,0.293840,0.332150,-0.638315,-0.715269,-0.311499,0.245756,-0.000000,0.245756,2.775019,0.000000
63,6.300000,-3.702616,2.430480,-5.160950,4.269538,-0.067464,-0.370580,-0.792205,-0.241411,0.242060,-0.000000,0.242061,2.803365,0.000000
64,6.400000,-3.891660,2.489210,-2.606442,4.563948,-0.293332,-0.099093,-0.826066,-0.173152,0.238473,-0.000000,0.238474,2.828429,0.000000
65,6.500000,-4.032827,2.366580,-4.830383,2.079700,-0.637626,0.012608,-0.885574,-0.143813,0.234990,-0.000000,0.234990,2.848171,0.000000
66,6.600000,-4.324593,2.271472,-3.781719,-1.371135,-0.903103,-0.081062,-0.925206,-0.161575,0.231606,-0.000000,0.231607,2.867634,0.000000
67,6.700000,-4.414154,2.112803,-3.237433,1.479097,-1.123585,-0.007244,-0.953450,-0.141715,0.228318,-0.000000,0.228318,2.883028,0.000000
68,6.800000,-4.548730,2.030149,-4.955434,6.248242,-1.429222,0.331443,-0.999193,-0.064960,0.225121,-0.000000,0.225121,2.892723,0.000000
69,6.900000,-4.606309,1.734111,0.724602,1.740809,-1.404052,0.403532,-0.972372,-0.048110,0.222011,-0.000000,0.222012,2.900937,0.000000
70,7.000000,-4.852078,1.435379,-3.859719,5.783625,-1.630405,0.693526,-0.999668,0.014213,0.218986,-0.000000,0.218987,2.906642,0.000000
