step,time,true_x,true_y,meas_x,meas_y,est_x,est_y,est_vx,est_vy,cov_xx,cov_xy,cov_yy,rmse,nis
42,4.200000,-2.520646,4.334936,-3.151932,6.888648,-1.559067,5.931622,-1.897300,1.070789,0.353013,0.000000,0.353012,1.488538,0.000000
43,4.300000,-2.726769,4.179588,1.294781,3.185365,-1.485886,5.792222,-1.807744,0.986831,0.345529,0.000000,0.345528,1.500953,0.000000
44,4.400000,-2.964496,4.059570,-4.128368,5.311520,-1.874888,5.841895,-1.877107,0.970506,0.338347,0.000000,0.338346,1.514021,0.000000
45,4.500000,-3.096967,3.897946,0.129390,4.529445,-1.880966,5.822153,-1.817910,0.932441,0.331450,0.000000,0.331449,1.530591,0.000000
46,4.600000,-3.263055,3.753703,-4.959035,3.489370,-2.297951,5.718388,-1.892941,0.869593,0.324822,0.000000,0.324821,1.544598,0.000000
47,4.700000,-3.481066,3.557335,-6.970081,2.101712,-2.844132,5.510492,-2.004435,0.777480,0.318448,0.000000,0.318447,1.555218,0.000000
48,4.800000,-3.732707,3.344413,-6.365817,5.022877,-3.303895,5.544098,-2.083801,0.763969,0.312314,0.000000,0.312314,1.569216,0.000000
49,4.900000,-3.864296,3.147831,-2.668376,1.456118,-3.447631,5.301497,-2.064410,0.668281,0.306408,0.000000,0.306408,1.581704,0.000000
50,5.000000,-4.023707,3.045901,-4.081954,3.578288,-3.686241,5.233754,-2.073870,0.628703,0.300717,0.000000,0.300717,1.594096,0.000000
51,5.100000,-4.128393,2.746909,-3.366598,2.347989,-3.854731,5.078996,-2.062649,0.565922,0.295230,0.000000,0.295229,1.608596,0.000000
52,5.200000,-4.340474,2.612333,-4.498781,1.305626,-4.092727,4.857978,-2.071631,0.487346,0.289936,0.000000,0.289936,1.620873,0.000000
53,5.300000,-4.443620,2.414570,-3.014617,3.178209,-4.208371,4.783632,-2.046205,0.453152,0.284826,-0.000000,0.284826,1.634944,0.000000
54,5.400000,-4.542309,2.167975,-4.223139,1.579247,-4.399708,4.601559,-2.042581,0.391123,0.279890,-0.000000,0.279890,1.649541,0.000000
55,5.500000,-4.537831,1.903664,-0.915036,0.246355,-4.350242,4.338430,-1.974600,0.310145,0.275121,-0.000000,0.275120,1.663691,0.000000
56,5.600000,-4.724362,1.598592,-4.777937,2.689984,-4.563271,4.255867,-1.978700,0.280247,0.270509,-0.000000,0.270508,1.681208,0.000000
57,5.700000,-4.858366,1.385549,-3.680627,-0.105972,-4.689274,3.991916,-1.960107,0.204710,0.266047,-0.000000,0.266046,1.697254,0.000000
58,5.800000,-4.838349,1.176289,-0.621171,-0.721659,-4.606275,3.702630,-1.889144,0.125927,0.261728,-0.000000,0.261727,1.711486,0.000000
59,5.900000,-4.921471,0.890857,-6.404466,1.378222,-4.898806,3.564753,-1.915059,0.088294,0.257546,-0.000000,0.257545,1.727528,0.000000
60,6.000000,-5.084480,0.740112,-4.496718,1.900397,-5.052695,3.467548,-1.905805,0.062208,0.253493,-0.000000,0.253493,1.743923,0.000000
61,6.100000,-4.924068,0.444211,-4.815552,1.880237,-5.216588,3.374347,-1.899345,0.038143,0.249566,-0.000000,0.249565,1.763291,0.000000
62,6.200000,-4.949838,0.340081,-5.479993,-1.993324,-5.411038,3.048142,-1.900421,-0.040472,0.245756,-0.000000,0.245756,1.778906,0.000000
63,6.300000,-5.057596,-0.106624,-6.515929,1.732435,-5.656440,2.964721,-1.913403,-0.059085,0.242061,-0.000000,0.242060,1.800004,0.000000
64,6.400000,-5.030566,-0.258379,-3.745349,1.816358,-5.722436,2.890701,-1.884462,-0.074812,0.238473,-0.000000,0.238473,1.821914,0.000000
65,6.500000,-4.958390,-0.552037,-5.755946,-0.838917,-5.901783,2.664552,-1.882392,-0.124537,0.234990,-0.000000,0.234990,1.845099,0.000000
66,6.600000,-5.040351,-0.779324,-4.497478,-4.421931,-5.997812,2.242501,-1.861735,-0.216291,0.231606,-0.000000,0.231606,1.864872,0.000000
67,6.700000,-4.924428,-1.032526,-3.747707,-1.666232,-6.044926,1.998998,-1.831041,-0.265263,0.228318,-0.000000,0.228318,1.884976,0.000000
68,6.800000,-4.858585,-1.173839,-5.265289,3.044254,-6.173845,2.032792,-1.819255,-0.252142,0.225121,-0.000000,0.225121,1.907888,0.000000
69,6.900000,-4.721517,-1.494964,0.609394,-1.488266,-5.969185,1.813548,-1.736363,-0.293746,0.222012,-0.000000,0.222011,1.931146,0.000000
70,7.000000,-4.779079,-1.788000,-3.786720,2.560246,-6.013833,1.826660,-1.709094,-0.284764,0.218986,-0.000000,0.218986,1.957746,0.000000
71,7.100000,-4.663736,-1.992658,-1.824481,-2.227581,-5.949241,1.580750,-1.660000,-0.330092,0.216042,-0.000000,0.216042,1.983299,0.000000
72,7.200000,-4.559723,-2.236864,-3.530894,-1.871598,-5.977509,1.365511,-1.631680,-0.367561,0.213175,-0.000000,0.213175,2.009163,0.000000
73,7.300000,-4.348853,-2.437740,-4.235274,-3.473796,-6.040459,1.076161,-1.611352,-0.418797,0.210383,-0.000000,0.210383,2.034713,0.000000
74,7.400000,-4.288322,-2.711579,-1.363297,1.467269,-5.950412,1.056760,-1.561081,-0.414299,0.207663,-0.000000,0.207663,2.062498,0.000000
75,7.500000,-4.162896,-2.939557,-2.417523,-1.586923,-5.917449,0.881957,-1.523738,-0.440640,0.205012,-0.000000,0.205012,2.090690,0.000000
76,7.600000,-3.905048,-3.102123,-5.442092,-0.714352,-6.038056,0.759339,-1.517546,-0.455953,0.202427,-0.000000,0.202427,2.120829,0.000000
77,7.700000,-3.734744,-3.143561,-4.516393,0.240629,-6.106178,0.690099,-1.501452,-0.460504,0.199906,-0.000000,0.199906,2.151432,0.000000
78,7.800000,-3.657034,-3.467377,-6.088440,-6.588082,-6.248034,0.287058,-1.499878,-0.528334,0.197448,-0.000000,0.197447,2.181942,0.000000
79,7.900000,-3.413729,-3.568398,-1.441900,-5.810544,-6.156352,-0.060530,-1.454532,-0.583639,0.195048,-0.000000,0.195048,2.210327,0.000000
80,8.000000,-3.341205,-3.801887,-6.184809,-5.831389,-6.296168,-0.394102,-1.453488,-0.634640,0.192706,-0.000000,0.192706,2.238724,0.000000
