step,time,true_x,true_y,meas_x,meas_y,est_x,est_y,est_vx,est_vy,cov_xx,cov_xy,cov_yy,rmse,nis
43,4.300000,12.898094,5.480179,16.919643,4.485956,13.477019,5.695007,3.035862,1.077979,0.345528,-0.000000,0.345528,0.972408,0.000000
44,4.400000,13.154114,5.664355,11.990241,6.916306,13.629168,5.896994,2.985414,1.109354,0.338346,0.000000,0.338346,0.962553,0.000000
45,4.500000,13.541917,5.829515,16.768272,6.461014,14.163084,6.045475,3.062126,1.121591,0.331449,0.000000,0.331449,0.955925,0.000000
46,4.600000,13.978566,6.029869,12.282587,5.765536,14.291724,6.125795,3.005478,1.111433,0.324821,0.000000,0.324822,0.942555,0.000000
47,4.700000,14.343566,6.179806,10.854550,4.724183,14.294708,6.116505,2.912517,1.073808,0.318447,0.000000,0.318448,0.924584,0.000000
48,4.800000,14.552089,6.264001,11.918980,7.942465,14.377728,6.358072,2.848784,1.114876,0.312313,0.000000,0.312314,0.909758,0.000000
49,4.900000,14.825810,6.332016,16.021730,4.640304,14.766715,6.329435,2.880014,1.072844,0.306407,-0.000000,0.306408,0.892746,0.000000
50,5.000000,15.089831,6.589097,15.031585,7.121484,15.052978,6.488200,2.879502,1.087985,0.300716,-0.000000,0.300717,0.877347,0.000000
51,5.100000,15.433581,6.656076,16.195375,6.257156,15.403995,6.571917,2.897694,1.080749,0.295229,0.000000,0.295230,0.862191,0.000000
52,5.200000,15.621523,6.875730,15.463215,5.569023,15.677054,6.599465,2.892965,1.057956,0.289935,0.000000,0.289936,0.851240,0.000000
53,5.300000,15.850105,7.134565,17.279108,7.898204,16.059828,6.790206,2.918936,1.081556,0.284825,0.000000,0.284826,0.842943,0.000000
54,5.400000,16.106209,7.346717,16.425379,6.757989,16.356878,6.888539,2.920342,1.078876,0.279890,-0.000000,0.279890,0.837112,0.000000
55,5.500000,16.573570,7.487436,20.196365,5.830126,16.892910,6.916210,2.985714,1.057384,0.275120,-0.000000,0.275120,0.833850,0.000000
56,5.600000,16.847069,7.484738,16.793495,8.576130,17.164562,7.127052,2.978630,1.085052,0.270507,0.000000,0.270508,0.827612,0.000000
57,5.700000,17.008209,7.531056,18.185947,6.039536,17.510544,7.156010,2.991080,1.064472,0.266045,-0.000000,0.266046,0.824151,0.000000
58,5.800000,17.341093,7.641142,21.558271,5.743194,18.054928,7.163047,3.053463,1.039189,0.261726,-0.000000,0.261728,0.824744,0.000000
